itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic,Topic,Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M052229,2015,8,M,5,No,Yes,M14,-,1,Knowing,Convert decimal to a fraction.,Number,"Fractions, Decimals, and Integers",N2,1,N21,0.9598,0.02943,0.09534,0.02142,,,,,,
M052063,2015,8,M,5,No,Yes,M14,C,1,Applying,Expression for area of rectangle,Algebra,Expressions and Operations,A1,3,A13,1.31575,0.0749,0.63522,0.03139,0.18609,0.01289,,,,
M052072,2015,8,M,5,No,Yes,M14,B,1,Knowing,Expression with exponents of y,Algebra,Expressions and Operations,A1,2,A12,1.04344,0.0535,0.04838,0.04346,0.13848,0.01974,,,,
M052092,2015,8,M,5,No,Yes,M14,A,1,Applying,Graph of 3y = 2x + 6,Algebra,Relationships and Functions,A3,2,A32,1.19846,0.09458,1.49939,0.04213,0.13875,0.00914,,,,
M052046,2015,8,M,5,No,Yes,M14,D,1,Reasoning,Rotation and reflection,Geometry,Location and Movement,G3,2,G32,1.14793,0.10053,1.51652,0.04687,0.18576,0.01042,,,,
M052083,2015,8,M,5,No,Yes,M14,C,1,Applying,Surface area of the prism,Geometry,Geometric Measurement,G2,2,G22,1.55343,0.09004,0.89992,0.02642,0.15899,0.00971,,,,
M052082,2015,8,M,5,No,Yes,M14,C,1,Applying,Value of angle x outside triangle,Geometry,Geometric Shapes,G1,1,G11,1.1845,0.0637,0.24786,0.03797,0.18148,0.01709,,,,
M052161,2015,8,M,5,No,Yes,M14,B,1,Applying,Number of balls in a bag,Data and Chance,Chance,D3,3,D33,1.16293,0.06195,-0.0928,0.04582,0.2026,0.02169,,,,
M052058A,2015,8,M,5,No,Yes,M14,-,1,Applying,Time when Pat finishes last lap,Number,Whole Numbers,N1,2,N12,1.22614,0.0358,-0.25929,0.01867,,,,,,
M052058B,2015,8,M,5,No,Yes,M14,-,1,Applying,Percentage of laps finished,Number,"Ratio, Proportion and Percent",N3,3,N33,1.52856,0.05041,0.99815,0.0204,,,,,,
M052146A,2015,8,M,5,No,Yes,M14,-,1,Reasoning,Number of matches for figure 10,Algebra,Relationships and Functions,A3,1,A31,0.84873,0.02729,0.24717,0.02385,,,,,,
M052146B,2015,8,M,5,No,Yes,M14,-,1,Reasoning,Rule for number of matches,Algebra,Relationships and Functions,A3,1,A31,1.65475,0.05922,1.22082,0.02225,,,,,,
M052418A,2015,8,M,5,No,Yes,M14,D,1,Applying,Liv's smartphone use,Data and Chance,Data Interpretation,D2,1,D21,1.97582,0.10764,0.74176,0.02151,0.1651,0.00914,,,,
M052418B,2015,8,M,5,No,Yes,M14,A,1,Applying,Smartphone use listening to music,Data and Chance,Data Interpretation,D2,2,D22,1.73814,0.10199,0.6112,0.027,0.24362,0.01179,,,,
M062208,2015,8,M,6,Yes,Yes,M02,-,1,Knowing,T or F for n (DERIVED),Number,Whole Numbers,N1,1,N11,1.02738,0.04335,-0.10231,0.02914,,,,,,
M062153,2015,8,M,6,Yes,Yes,M02,B,1,Applying,"Peter, Mark, and Sarah share zeds",Number,"Fractions, Decimals, and Integers",N2,2,N22,0.92681,0.09037,0.55054,0.07532,0.20889,0.02949,,,,
M062237,2015,8,M,6,Yes,Yes,M02,-,1,Applying,Solve system of equations for x and y,Algebra,Equations and Inequalities,A2,2,A22,1.73133,0.08372,1.04984,0.02686,,,,,,
M062314,2015,8,M,6,Yes,Yes,M02,-,1,Knowing,Complete table of values for given equation,Algebra,Relationships and Functions,A3,2,A32,1.12697,0.05566,1.16606,0.03937,,,,,,
M062074,2015,8,M,6,Yes,Yes,M02,D,1,Applying,Function for Janet's graph given slope/intercept,Algebra,Relationships and Functions,A3,3,A33,1.11197,0.14497,1.24789,0.06704,0.29532,0.01931,,,,
M062183,2015,8,M,6,Yes,Yes,M02,-,1,Applying,Draw the reflection of shaded object over the line,Geometry,Location and Movement,G3,2,G32,0.95458,0.04172,0.25873,0.03075,,,,,,
M062202,2015,8,M,6,Yes,Yes,M02,B,1,Reasoning,Liza's net of cube - face opposite face Q,Geometry,Geometric Shapes,G1,4,G14,1.13506,0.08703,-0.03506,0.068,0.18881,0.03253,,,,
M062246,2015,8,M,6,Yes,Yes,M02,D,1,Reasoning,Rami's tiles - 2 pairs with same perimeter,Geometry,Geometric Measurement,G2,1,G21,2.16561,0.19658,1.10461,0.0312,0.17181,0.01116,,,,
M062286,2015,8,M,6,Yes,Yes,M02,-,2,Applying,Show Kerry how to find area of an irregular shape,Geometry,Geometric Measurement,G2,2,G22,1.08282,0.04313,1.35357,0.03001,,,-0.17438,0.04144,0.17438,0.05577
M062325,2015,8,M,6,Yes,Yes,M02,C,1,Knowing,Statements about electronic device usage survey,Data and Chance,Characteristics of Data Sets,D1,1,D11,0.8865,0.13405,1.06173,0.09654,0.37761,0.02768,,,,
M062106,2015,8,M,6,Yes,Yes,M02,D,1,Knowing,Best estimate that the next gumball will be blue,Data and Chance,Chance,D3,2,D32,0.50427,0.05128,1.10051,0.10093,0.25,0,,,,
M062124,2015,8,M,6,Yes,Yes,M02,A,1,Knowing,Chance Clara picks a blue marble,Data and Chance,Chance,D3,3,D33,1.4442,0.10415,0.60695,0.03681,0.12184,0.01587,,,,
M062111A,2015,8,M,6,Yes,Yes,M02,-,1,Applying,Flowers Maria sold - percent tulips,Number,"Ratio, Proportion and Percent",N3,3,N33,1.37598,0.05555,0.16374,0.02343,,,,,,
M062111B,2015,8,M,6,Yes,Yes,M02,-,1,Applying,Flowers Maria sold - total number,Number,"Ratio, Proportion and Percent",N3,3,N33,1.67592,0.07161,0.64642,0.02238,,,,,,
M062329,2015,8,M,6,No,Yes,M04,B,1,Knowing,"Two million, fifty thousand, three hundred seven",Number,Whole Numbers,N1,1,N11,0.80861,0.07864,-0.61525,0.17276,0.24014,0.07213,,,,
M062151,2015,8,M,6,No,Yes,M04,-,1,Reasoning,Number of cups of water to fill 3 pitchers,Number,"Ratio, Proportion and Percent",N3,3,N33,1.25097,0.05529,0.81276,0.02952,,,,,,
M062346,2015,8,M,6,No,Yes,M04,-,1,Applying,Explain which brand has cheaper price per battery,Number,"Ratio, Proportion and Percent",N3,3,N33,1.13621,0.05043,0.77856,0.03127,,,,,,
M062212,2015,8,M,6,No,Yes,M04,B,1,Applying,Four containers partially filled with water,Number,"Fractions, Decimals, and Integers",N2,1,N21,1.34402,0.1174,1.17001,0.04161,0.11277,0.01239,,,,
M062056,2015,8,M,6,No,Yes,M04,-,1,Knowing,Write the expression with x and y in simplest form,Algebra,Expressions and Operations,A1,2,A12,1.32613,0.06365,1.12749,0.03364,,,,,,
M062317,2015,8,M,6,No,Yes,M04,-,1,Knowing,Points on a parabola graph - fill in table,Algebra,Relationships and Functions,A3,2,A32,1.41922,0.06333,0.87086,0.02767,,,,,,
M062350,2015,8,M,6,No,Yes,M04,D,1,Applying,"Given point and slope, select collinear point",Algebra,Relationships and Functions,A3,3,A33,1.34245,0.15305,1.58837,0.05676,0.12412,0.01116,,,,
M062078,2015,8,M,6,No,Yes,M04,-,1,Reasoning,Given perimeter of triangle ABC find length of AB,Algebra,Equations and Inequalities,A2,2,A22,1.59902,0.06891,0.70361,0.02375,,,,,,
M062284,2015,8,M,6,No,Yes,M04,B,1,Knowing,Choose the pair of congruent quadrilaterals,Geometry,Geometric Shapes,G1,3,G13,0.67366,0.09403,0.46262,0.16274,0.306,0.04952,,,,
M062245,2015,8,M,6,No,Yes,M04,A,1,Applying,Coordinates of 4th vertex for Pia's rectangle,Geometry,Location and Movement,G3,1,G31,1.27722,0.10762,0.71049,0.0467,0.19243,0.01873,,,,
M062287,2015,8,M,6,No,Yes,M04,-,1,Reasoning,Shaded areas with overlapping congruent triangles,Geometry,Geometric Measurement,G2,2,G22,1.23702,0.06689,1.44993,0.0449,,,,,,
M062115,2015,8,M,6,No,Yes,M04,C,1,Applying,Marble maze with intersections,Data and Chance,Chance,D3,3,D33,1.57705,0.17894,1.39688,0.04749,0.19872,0.01261,,,,
M062345A,2015,8,M,6,No,Yes,M04,-,2,Applying,Fishing spots - calculate mean and median,Data and Chance,Characteristics of Data Sets,D1,2,D12,0.58428,0.02499,0.56928,0.03323,,,0.29727,0.05142,-0.29727,0.05993
M062005,2015,8,M,6,No,Yes,M08,C,1,Knowing,832 divided by 16 is equal to,Number,Whole Numbers,N1,1,N11,0.84272,0.09737,0.49094,0.10611,0.30764,0.03588,,,,
M062139,2015,8,M,6,No,Yes,M08,-,1,Applying,Number of biscuits Marina keeps for herself,Number,Whole Numbers,N1,2,N12,1.00803,0.04478,0.6355,0.0326,,,,,,
M062164,2015,8,M,6,No,Yes,M08,A,1,Knowing,Number to add to 2/5 to get 0.42,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.38862,0.09884,0.15403,0.04648,0.18033,0.02292,,,,
M062142,2015,8,M,6,No,Yes,M08,-,1,Applying,Shade 40% of the rectangle,Number,"Ratio, Proportion and Percent",N3,2,N32,0.91179,0.04002,-0.22428,0.03258,,,,,,
M062084,2015,8,M,6,No,Yes,M08,A,1,Knowing,Solve the inequality with y,Algebra,Equations and Inequalities,A2,2,A22,1.39774,0.16689,1.58189,0.05652,0.15075,0.0116,,,,
M062351,2015,8,M,6,No,Yes,M08,B,1,Knowing,Identify line with positive slope,Algebra,Relationships and Functions,A3,3,A33,0.79685,0.12482,1.64326,0.09762,0.19438,0.02223,,,,
M062223,2015,8,M,6,No,Yes,M08,D,1,Applying,Expression for perimeter of a pentagon,Algebra,Expressions and Operations,A1,3,A13,1.30588,0.0918,-0.14003,0.05583,0.17467,0.02909,,,,
M062027,2015,8,M,6,No,Yes,M08,-,1,Reasoning,y-value in table of points on straight line,Algebra,Relationships and Functions,A3,2,A32,0.76531,0.03711,0.60586,0.04028,,,,,,
M062174,2015,8,M,6,No,Yes,M08,B,1,Applying,Find angle x given rectangle ABCD with diagonal,Geometry,Geometric Shapes,G1,5,G15,1.52085,0.15606,0.89148,0.04905,0.32448,0.01725,,,,
M062244,2015,8,M,6,No,Yes,M08,-,1,Applying,Find coordinates of midpoint of line AB,Geometry,Location and Movement,G3,1,G31,0.98991,0.04345,0.48251,0.03149,,,,,,
M062261,2015,8,M,6,No,Yes,M08,C,1,Reasoning,Find side x with 2 similar triangles,Geometry,Geometric Shapes,G1,3,G13,1.70577,0.18289,1.49819,0.04409,0.12776,0.00987,,,,
M062300,2015,8,M,6,No,Yes,M08,-,2,Reasoning,Draw a rectangle given area and perimeter,Geometry,Geometric Measurement,G2,1,G21,0.73788,0.02327,0.47152,0.02492,,,-0.5003,0.05147,0.5003,0.05525
M062254,2015,8,M,6,No,Yes,M08,-,1,Reasoning,Characteristics of test scores from dot plots,Data and Chance,Characteristics of Data Sets,D1,1,D11,0.65068,0.04198,1.73871,0.09098,,,,,,
M062132A,2015,8,M,6,No,Yes,M08,-,1,Knowing,Mobile phone factory - number faulty in a batch,Data and Chance,Chance,D3,2,D32,1.18641,0.04979,-0.25135,0.02753,,,,,,
M062132B,2015,8,M,6,No,Yes,M08,B,1,Applying,Mobile phone factory - expected vs. actual faulty,Data and Chance,Chance,D3,2,D32,1.12285,0.11591,0.85783,0.06098,0.25828,0.02171,,,,
M062150,2015,8,M,6,No,Yes,M10,-,1,Knowing,Difference between low temperature in City X and Y,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.13613,0.04704,-0.17401,0.02749,,,,,,
M062335,2015,8,M,6,No,Yes,M10,B,1,Knowing,Select equivalent ratio to 3:2,Number,"Ratio, Proportion and Percent",N3,1,N31,1.41772,0.09556,-0.06714,0.04754,0.15915,0.02541,,,,
M062219,2015,8,M,6,No,Yes,M10,A,1,Applying,Katy enlarges a photo - new height,Number,"Ratio, Proportion and Percent",N3,3,N33,2.0764,0.17949,0.88265,0.03249,0.22394,0.01329,,,,
M062002,2015,8,M,6,No,Yes,M10,-,1,Reasoning,Fill in boxes to make the smallest product,Number,Whole Numbers,N1,1,N11,0.6984,0.03544,0.66974,0.04424,,,,,,
M062149,2015,8,M,6,No,Yes,M10,D,1,Applying,Identify expression to calculate Robin's earnings,Algebra,Expressions and Operations,A1,3,A13,1.20352,0.0905,0.61255,0.04429,0.12586,0.01855,,,,
M062241,2015,8,M,6,No,Yes,M10,-,1,Applying,Roy's phone business - equation for y,Algebra,Relationships and Functions,A3,2,A32,1.76373,0.07571,0.67393,0.022,,,,,,
M062105,2015,8,M,6,No,Yes,M10,-,2,Reasoning,Area of rectangle with sides x and 2x + 1,Algebra,Equations and Inequalities,A2,2,A22,0.80013,0.0248,0.90624,0.02567,,,-1.43458,0.08196,1.43458,0.08643
M062040,2015,8,M,6,No,Yes,M10,C,1,Applying,Estimate area of irregular shape on 1 cm grid,Geometry,Geometric Measurement,G2,1,G21,0.88237,0.10348,0.96652,0.0772,0.23597,0.02644,,,,
M062288,2015,8,M,6,No,Yes,M10,-,2,Applying,Find vertices of Trapezoids M and N,Geometry,Location and Movement,G3,1,G31,0.80879,0.02677,1.13687,0.02953,,,-0.8424,0.06173,0.8424,0.0707
M062173,2015,8,M,6,No,Yes,M10,-,1,Reasoning,Find angle x on a folded piece of paper,Geometry,Geometric Shapes,G1,5,G15,1.15117,0.05158,0.81858,0.03161,,,,,,
M062133,2015,8,M,6,No,Yes,M10,D,1,Applying,Black and white marbles in a bag with replacement,Data and Chance,Chance,D3,2,D32,1.35027,0.11938,0.72213,0.04806,0.23955,0.01912,,,,
M062123A,2015,8,M,6,No,Yes,M10,C,1,Knowing,Relay race - mean time of runners,Data and Chance,Characteristics of Data Sets,D1,2,D12,1.74142,0.14881,0.4364,0.04355,0.3198,0.01955,,,,
M062123B,2015,8,M,6,No,Yes,M10,B,1,Applying,Relay race - mean time when 2 runners improve,Data and Chance,Characteristics of Data Sets,D1,2,D12,1.54485,0.11565,0.75208,0.0355,0.13799,0.01447,,,,
M062271,2015,8,M,6,No,Yes,M12,D,1,Knowing,Randy's blue balloons,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.63115,0.13243,0.5833,0.04052,0.24681,0.01776,,,,
M062152,2015,8,M,6,No,Yes,M12,-,1,Applying,Least number of crates for Harry's apples,Number,Whole Numbers,N1,2,N12,1.12968,0.04776,0.4481,0.02805,,,,,,
M062215,2015,8,M,6,No,Yes,M12,-,2,Applying,Fill in new price/discount in bicycle sale table,Number,"Ratio, Proportion and Percent",N3,3,N33,0.855,0.02888,0.74386,0.02485,,,-0.19441,0.04219,0.19441,0.04919
M062143,2015,8,M,6,No,Yes,M12,-,1,Reasoning,Number of girls in a class given boys:girls,Number,"Ratio, Proportion and Percent",N3,1,N31,1.64979,0.07354,0.88663,0.02527,,,,,,
M062230,2015,8,M,6,No,Yes,M12,B,1,Knowing,Identify expression equivalent to (3x+6)/9x,Algebra,Expressions and Operations,A1,2,A12,1.62436,0.18656,1.41432,0.04752,0.21794,0.01249,,,,
M062095,2015,8,M,6,No,Yes,M12,A,1,Applying,Equation for Bruno's monthly cell phone cost,Algebra,Equations and Inequalities,A2,1,A21,1.67409,0.13283,0.61467,0.03813,0.22403,0.01678,,,,
M062076,2015,8,M,6,No,Yes,M12,A,1,Applying,Room divided into classroom M and laboratory L,Algebra,Expressions and Operations,A1,3,A13,1.80578,0.14471,0.31932,0.04075,0.29396,0.01985,,,,
M062030,2015,8,M,6,No,Yes,M12,-,1,Applying,Find cost of taxi ride with table,Algebra,Relationships and Functions,A3,2,A32,0.51335,0.02998,0.03889,0.05031,,,,,,
M062171,2015,8,M,6,No,Yes,M12,D,1,Knowing,Shaded square reflected over the line XY,Geometry,Location and Movement,G3,2,G32,0.82141,0.06521,-0.23147,0.10243,0.08343,0.04687,,,,
M062301,2015,8,M,6,No,Yes,M12,-,1,Reasoning,Sculpture from solid cube - number of faces,Geometry,Geometric Shapes,G1,4,G14,1.14702,0.05368,1.0496,0.0359,,,,,,
M062194,2015,8,M,6,No,Yes,M12,C,1,Reasoning,Number of cubes in solid figure,Geometry,Geometric Measurement,G2,1,G21,1.00209,0.08759,-0.30783,0.1057,0.26108,0.0472,,,,
M062344,2015,8,M,6,No,Yes,M12,-,1,Applying,Total bowls to raise average to 15,Data and Chance,Characteristics of Data Sets,D1,2,D12,0.89015,0.04433,1.10649,0.04547,,,,,,
M062320,2015,8,M,6,No,Yes,M12,D,1,Applying,Fishing histogram - proportion of fish released,Data and Chance,Data Interpretation,D2,2,D22,1.88576,0.12195,0.56621,0.02756,0.09723,0.01221,,,,
M062296,2015,8,M,6,No,Yes,M12,-,1,Reasoning,Draw a spinner given chance of outcomes,Data and Chance,Chance,D3,3,D33,1.16845,0.04884,0.22072,0.02664,,,,,,
M062001,2015,8,M,6,No,Yes,M14,B,1,Knowing,276 x 85 is equal to,Number,Whole Numbers,N1,1,N11,1.02533,0.12668,0.9153,0.07578,0.34638,0.02405,,,,
M062214,2015,8,M,6,No,Yes,M14,-,1,Applying,Ahmed buys ice cream and a book,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.15799,0.04891,0.45343,0.0275,,,,,,
M062146,2015,8,M,6,No,Yes,M14,A,1,Applying,Find percent of fir trees in a park given a ratio,Number,"Ratio, Proportion and Percent",N3,2,N32,1.3985,0.1055,0.75903,0.03731,0.12619,0.01485,,,,
M062154,2015,8,M,6,No,Yes,M14,-,1,Applying,Number of eggs Minji needs to bake cookies,Number,"Ratio, Proportion and Percent",N3,3,N33,1.35217,0.05438,-0.03,0.02392,,,,,,
M062067,2015,8,M,6,No,Yes,M14,C,1,Knowing,Find value of x when y=5,Algebra,Equations and Inequalities,A2,2,A22,1.21175,0.11159,0.17349,0.07277,0.34431,0.02931,,,,
M062341,2015,8,M,6,No,Yes,M14,D,1,Knowing,Slope of line y=3x-1,Algebra,Relationships and Functions,A3,3,A33,1.03562,0.16624,1.72749,0.09181,0.23493,0.01666,,,,
M062242,2015,8,M,6,No,Yes,M14,A,1,Reasoning,Relationship a graph of a line in words,Algebra,Relationships and Functions,A3,2,A32,1.2476,0.09034,0.1901,0.05073,0.16094,0.02412,,,,
M062170,2015,8,M,6,No,Yes,M14,-,2,Reasoning,Fill in table for number of faces coated with paint,Geometry,Geometric Shapes,G1,4,G14,0.52446,0.02495,0.9899,0.04385,,,0.64513,0.05335,-0.64513,0.07438
M062192,2015,8,M,6,No,Yes,M14,-,1,Applying,Distance from base of ladder to base of building,Geometry,Geometric Shapes,G1,5,G15,1.05845,0.05282,1.17844,0.04182,,,,,,
M062072,2015,8,M,6,No,Yes,M14,-,1,Applying,Graph for Charles' walk or bike to Olympic park,Data and Chance,Data Interpretation,D2,1,D21,1.01792,0.04342,0.20444,0.02919,,,,,,
M062120,2015,8,M,6,No,Yes,M14,C,1,Knowing,Umut picks marbles without replacement,Data and Chance,Chance,D3,3,D33,1.27358,0.09895,0.54028,0.04536,0.16219,0.01967,,,,
M062250A,2015,8,M,6,No,Yes,M14,-,1,Applying,Julia's hexagon box - decorated strip,Geometry,Geometric Measurement,G2,2,G22,1.17471,0.04842,0.1857,0.02622,,,,,,
M062250B,2015,8,M,6,No,Yes,M14,-,1,Applying,Julia's hexagon box - blue paper for sides,Geometry,Geometric Measurement,G2,2,G22,1.38829,0.06259,0.8846,0.02841,,,,,,
